file_id,prob0,prob1,prob2,prob3,prob4,prob5
0,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
1,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
2,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
3,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
4,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
5,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
6,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
7,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
8,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
9,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
10,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
11,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
12,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
13,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
14,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
15,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
16,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
17,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
18,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
19,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
20,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
21,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
22,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
23,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
24,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
25,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
26,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
27,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
28,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
29,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
30,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
31,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
32,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
33,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
34,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
35,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666,0.1666666
